CustomerId,Churn_Prediction
15619304,1
15574012,1
15656148,1
15737452,1
15699309,1
15589475,1
15794171,1
15738148,1
15755196,1
15602280,1
15771573,1
15702298,1
15569590,1
15623944,1
15703793,1
15663706,1
15762418,1
15622897,1
15757535,1
15804919,1
15613854,1
15744689,1
15609618,1
15661670,1
15627360,1
15671137,1
15782688,1
15594408,1
15640905,1
15713483,1
15759618,1
15679145,1
15658929,1
15724623,1
15574692,1
15651022,1
15625426,1
15719377,1
15726931,1
15600974,1
15727868,1
15755262,1
15684181,1
15723488,1
15659366,1
15774854,1
15733247,1
15568748,1
15676895,1
15637753,1
15772896,1
15764866,1
15794056,1
15596175,1
15797219,1
15772423,1
15717398,1
15619955,1
15694456,1
15782210,1
15643024,1
15590241,1
15684173,1
15594898,1
15773972,1
15662736,1
15694408,1
15736008,1
15728669,1
15697441,1
15636624,1
15807923,1
15745844,1
15661629,1
15696674,1
15583456,1
15629677,1
15573456,1
15646372,1
15578045,1
15801559,1
15720559,1
15810418,1
15674551,1
15806467,1
15597602,1
15595039,1
15787470,1
15694860,1
15707362,1
15773792,1
15593782,1
15683625,1
15591986,1
15676519,1
15613772,1
15725679,1
15585865,1
15677020,1
15714485,1
15682048,1
15752081,1
15775912,1
15671256,1
15653849,1
15776780,1
15794142,1
15762729,1
15705953,1
15802593,1
15657284,1
15775318,1
15634844,1
15665956,1
15651674,1
15730076,1
15607312,1
15737741,1
15803689,1
15718057,1
15722010,1
15591047,1
15788291,1
15637476,1
15683503,1
15745295,1
15766575,1
15712403,1
15811762,1
15738181,1
15784844,1
15640078,1
15698786,1
15569807,1
15664610,1
15715142,1
15600337,1
15579334,1
15802741,1
15727299,1
15620204,1
15580148,1
15807609,1
15721658,1
15578761,1
15612525,1
15744607,1
15612966,1
15784209,1
15641675,1
15582741,1
15637876,1
15672056,1
15677921,1
15685329,1
15584091,1
15789158,1
15712551,1
15628936,1
15571221,1
15756026,1
15775306,1
15806438,1
15757811,1
15585888,1
15707567,1
15672012,1
15794048,1
15693864,1
15809087,1
15807663,1
15809100,1
15756804,1
15646810,1
15692750,1
15585362,1
15571928,1
15743007,1
15772781,1
15669987,1
15654700,1
15642041,1
15794580,1
15675964,1
15724848,1
15792328,1
15743411,1
15753337,1
15737795,1
15613630,1
15804586,1
15745324,1
15741336,1
15620981,1
15660429,1
15731815,1
15580956,1
15570060,1
15807008,1
15613749,1
15681206,1
15701301,1
15701602,1
15569050,1
15686936,1
15602010,1
15654673,1
15593969,1
15793949,1
15705860,1
15706534,1
15631189,1
15692744,1
15688963,1
15680303,1
15628674,1
15648075,1
15663438,1
15646513,1
15708063,1
15585198,1
15813168,1
15660316,1
15592229,1
15798424,1
15648800,1
15626147,1
15592583,1
15789955,1
15596800,1
15627305,1
15685309,1
15566251,1
15694821,1
15669899,1
15690007,1
15719348,1
15781802,1
15640454,1
15588670,1
15782454,1
15755638,1
15719302,1
15791279,1
15589572,1
15779947,1
15651052,1
15658969,1
15813590,1
15674148,1
15625080,1
15730038,1
15812272,1
15607537,1
15658052,1
15814930,1
15610383,1
15743532,1
15662291,1
15612064,1
15690182,1
15779182,1
15688880,1
15683930,1
15800434,1
15709117,1
15596181,1
15644833,1
15720702,1
15665077,1
15629244,1
15574331,1
15645572,1
15576683,1
15645511,1
15609824,1
15691104,1
15635435,1
15596552,1
15683403,1
15689514,1
15627232,1
15722902,1
15771942,1
15587233,1
15714466,1
15690647,1
15775295,1
15684196,1
15787835,1
15748797,1
15754796,1
15628947,1
15797276,1
15612494,1
15710164,1
15596671,1
15799966,1
15574068,1
15796334,1
15598751,1
15697311,1
15585367,1
15676242,1
15774882,1
15608653,1
15571778,1
15566211,1
15814846,1
15670374,1
15630725,1
15700212,1
15716491,1
15625824,1
15634891,1
15744517,1
15590146,1
15762277,1
15798975,1
15738267,1
15786800,1
15782736,1
15584364,1
15709994,1
15706815,1
15600991,1
15683124,1
15670823,1
15607133,1
15725141,1
15730394,1
15647842,1
15751158,1
15781553,1
15649121,1
15777797,1
15595303,1
15634950,1
15685372,1
15651533,1
15585067,1
15633233,1
15752342,1
15663441,1
15579706,1
15716994,1
15675896,1
15658057,1
15713826,1
15700854,1
15605279,1
15684269,1
15578603,1
15765694,1
15568963,1
15703820,1
15778410,1
15704763,1
15701121,1
15796313,1
15689980,1
15642002,1
15603846,1
15753549,1
15764170,1
15610446,1
15605037,1
15711219,1
15678727,1
15740104,1
15605275,1
15804394,1
15619343,1
15758813,1
15589076,1
15758845,1
15711455,1
15570601,1
15690925,1
15726494,1
15664754,1
15643630,1
15629078,1
15576644,1
15812198,1
15699772,1
15739858,1
15638355,1
15805637,1
15629575,1
15716609,1
15652693,1
15659651,1
15607347,1
15615456,1
15589793,1
15779176,1
15605286,1
15674922,1
15692416,1
15738318,1
15585901,1
15627876,1
15758606,1
15657107,1
15787189,1
15666055,1
15755678,1
15725835,1
15727384,1
15732917,1
15633043,1
15606613,1
15658716,1
15678146,1
15710743,1
15723008,1
15797160,1
15610686,1
15577078,1
15571305,1
15629338,1
15750684,1
15805303,1
15780254,1
15815626,1
15813412,1
15668669,1
15687658,1
15757408,1
15659931,1
15795990,1
15718893,1
15774857,1
15651554,1
15603851,1
15599722,1
15704284,1
15765518,1
15758372,1
15648794,1
15588614,1
15630698,1
15694200,1
15721426,1
15805260,1
15738605,1
15762169,1
15609998,1
15583548,1
15735246,1
15791700,1
15809826,1
15803749,1
15736069,1
15713655,1
15633930,1
15712849,1
15639077,1
15633112,1
15780038,1
15578799,1
15586264,1
15629323,1
15777553,1
15570835,1
15808044,1
15684951,1
15783615,1
15789097,1
15801265,1
15664543,1
15582714,1
15621210,1
15724223,1
15624388,1
15581440,1
15654390,1
15595728,1
15642345,1
15706163,1
15746708,1
15787907,1
15646764,1
15678284,1
15726791,1
15710366,1
15791053,1
15682600,1
15708212,1
15578297,1
15774151,1
15778395,1
15657342,1
15672374,1
15809286,1
15579130,1
15806027,1
15603914,1
15661821,1
15689351,1
15782247,1
15769064,1
15613189,1
15792525,1
15586976,1
15567980,1
15636089,1
15756920,1
15726403,1
15704442,1
15630617,1
15679249,1
15760294,1
15778155,1
15666548,1
15634974,1
15689341,1
15759436,1
15751561,1
15726490,1
15598086,1
15578809,1
15752026,1
15569571,1
15769703,1
15679770,1
15791102,1
15755178,1
15617197,1
15631240,1
15732270,1
15711834,1
15672144,1
15775905,1
15688691,1
15592736,1
15597896,1
15731790,1
15787318,1
15744582,1
15640846,1
15602735,1
15800062,1
15775891,1
15711789,1
15680278,1
15581036,1
15687162,1
15759874,1
15815490,1
15679410,1
15688409,1
15742272,1
15635660,1
15582325,1
15760446,1
15641994,1
15639946,1
15729954,1
15627352,1
15809178,1
15806688,1
15576824,1
15592816,1
15662098,1
15658889,1
15753332,1
15767474,1
15626787,1
15566708,1
15730433,1
15782468,1
15776233,1
15641416,1
15771417,1
15585100,1
15700487,1
15747503,1
15597930,1
15723299,1
15618936,1
15787529,1
15600934,1
15785782,1
15812513,1
15678572,1
15776454,1
15648489,1
15813067,1
15707968,1
15671591,1
15669411,1
15789425,1
15624510,1
15668575,1
15628972,1
15617482,1
15704583,1
15621083,1
15649487,1
15581198,1
15724858,1
15690188,1
15591915,1
15776348,1
15671655,1
15807481,1
15789109,1
15605000,1
15577178,1
15595324,1
15595228,1
15651983,1
15655123,1
15682268,1
15684801,1
15636428,1
15720943,1
15697997,1
15619653,1
15800061,1
15687491,1
15779862,1
15699247,1
15570932,1
15609653,1
15759066,1
15814816,1
15571059,1
15779581,1
15745083,1
15697424,1
15735878,1
15707596,1
15622478,1
15636023,1
15663161,1
15795224,1
15721007,1
15813113,1
15772073,1
15701537,1
15769596,1
15775590,1
15730688,1
15810075,1
15724161,1
15569641,1
15801336,1
15746203,1
15583137,1
15680752,1
15791373,1
15589449,1
15764604,1
15750447,1
15631070,1
15761950,1
15725794,1
15678201,1
15603942,1
15596761,1
15747097,1
15713463,1
15589715,1
15664907,1
15588080,1
15717560,1
15768151,1
15579212,1
15587419,1
15750335,1
15778368,1
15768072,1
15654456,1
15807525,1
15611430,1
15793890,1
15646091,1
15596984,1
15715622,1
15627220,1
15706071,1
15801904,1
15784320,1
15628767,1
15758116,1
15799626,1
15651352,1
15647385,1
15631305,1
15603465,1
15750638,1
15764431,1
15648881,1
15749905,1
15625175,1
15643967,1
15733234,1
15721582,1
15628219,1
15765982,1
15724863,1
15633352,1
15593736,1
15710689,1
15674678,1
15745605,1
15612092,1
15722965,1
15789974,1
15713370,1
15791216,1
15806956,1
15807993,1
15809137,1
15588944,1
15660505,1
15623712,1
15653251,1
15755077,1
15761023,1
15801218,1
15641359,1
15647725,1
15626612,1
15629094,1
15651823,1
15727353,1
15733777,1
15723263,1
15803121,1
15761670,1
15706005,1
15711618,1
15773221,1
15628886,1
15573599,1
15747208,1
15772528,1
15711716,1
15639357,1
15738907,1
15663446,1
15750867,1
15634968,1
15809320,1
15793049,1
15607263,1
15610900,1
15691703,1
15759284,1
15661903,1
15664668,1
15602731,1
15586133,1
15666270,1
15727197,1
15722246,1
15609704,1
15768451,1
15812616,1
15729489,1
15640409,1
15577999,1
15703541,1
15608344,1
